USWTDB_ID,Longitude,Latitude,Plant_Code
Seven Mile Hill I & II,-106.41199000000,41.95759200000,56843
Seven Mile Hill I & II,-106.37269000000,41.93329200000,56843
Seven Mile Hill I & II,-106.41259000000,41.94309200000,56843
Seven Mile Hill I & II,-106.37279000000,41.93749200000,56843
Seven Mile Hill I & II,-106.36559000000,41.95079400000,56843
Seven Mile Hill I & II,-106.37759000000,41.91709100000,56843
Seven Mile Hill I & II,-106.43839000000,41.95749300000,56843
Seven Mile Hill I & II,-106.37779000000,41.91849100000,56843
Settler's Trail,-87.55999800000,40.70629100000,57493
Settler's Trail,-87.58399200000,40.71219300000,57493
Settler's Trail,-87.55909700000,40.76039100000,57493
Settler's Trail,-87.53269200000,40.69799000000,57493
Settler's Trail,-87.62909700000,40.71079300000,57493
Seven Mile Hill I & II,-106.38149000000,41.92499200000,56843
Seven Mile Hill I & II,-106.41929000000,41.96709400000,56843
Seven Mile Hill I & II,-106.38009000000,41.92099400000,56843
Seven Mile Hill I & II,-106.41989000000,41.96849400000,56843
Seven Mile Hill I & II,-106.42169000000,41.97429300000,56843
Seven Mile Hill I & II,-106.43549000000,41.96479400000,56843
Seven Mile Hill I & II,-106.36559000000,41.94939400000,56843
Seven Mile Hill I & II,-106.43549000000,41.96219300000,56843
Settler's Trail,-87.53109700000,40.71779300000,57493
Settler's Trail,-87.59829700000,40.73069400000,57493
Settler's Trail,-87.56699400000,40.72569300000,57493
Settler's Trail,-87.61109200000,40.74979000000,57493
Settler's Trail,-87.58009300000,40.69249300000,57493
Settler's Trail,-87.60109700000,40.73809100000,57493
Settler's Trail,-87.55239100000,40.72909200000,57493
Settler's Trail,-87.56119500000,40.73969300000,57493
Settler's Trail,-87.62269600000,40.73369200000,57493
Settler's Trail,-87.62649500000,40.69619400000,57493
Settler's Trail,-87.58109300000,40.74419000000,57493
Settler's Trail,-87.61289200000,40.68939200000,57493
Settler's Trail,-87.57539400000,40.71519100000,57493
Settler's Trail,-87.60679600000,40.71409200000,57493
Settler's Trail,-87.61859100000,40.69649100000,57493
Settler's Trail,-87.58769200000,40.72649400000,57493
Settler's Trail,-87.53329500000,40.74419000000,57493
Settler's Trail,-87.58809700000,40.70789300000,57493
Settler's Trail,-87.56769600000,40.71619000000,57493
Settler's Trail,-87.63529200000,40.74149300000,57493
Settler's Trail,-87.56939700000,40.73419200000,57493
Settler's Trail,-87.55839500000,40.69419100000,57493
Settler's Trail,-87.64049500000,40.75049200000,57493
Settler's Trail,-87.61469300000,40.73299000000,57493
Settler's Trail,-87.61809500000,40.71079300000,57493
Settler's Trail,-87.57229600000,40.72859200000,57493
Settler's Trail,-87.61019100000,40.70989200000,57493
Settler's Trail,-87.62109400000,40.68929300000,57493
Settler's Trail,-87.54839300000,40.76099000000,57493
Settler's Trail,-87.52819100000,40.72809200000,57493
Settler's Trail,-87.52799200000,40.68129300000,57493
Settler's Trail,-87.54239700000,40.69829200000,57493
Seiling,-99.01615900000,36.12123500000,59311
Seiling,-99.05812100000,36.08535400000,59311
Seiling,-98.99301900000,36.09951400000,59311
Seiling,-99.01195500000,36.11181300000,59311
Seiling,-98.96120500000,36.11366300000,59311
Seiling,-99.06912200000,36.07678200000,59311
Seiling,-99.03810900000,36.13358300000,59311
Seiling,-99.05696100000,36.13259500000,59311
Seiling,-98.96035000000,36.12398500000,59311
Seiling,-98.95048500000,36.11029400000,59311
Seiling,-99.04172500000,36.13278200000,59311
Seiling,-98.96829200000,36.11780500000,59311
Seiling,-99.00192300000,36.10477400000,59311
